sep=,
index,class,number of faces, number of vertices, type of faces, minimum X value, maximum X value, minimum Y value, maximum Y value, minimum Z value, maximum Z value, baricenter x coordinate, baricenter y coordinate, baricenter z coordinate, path, vertices verdict, volume
0,Airplane,2000,1002,triangles,-0.254264,0.29132,-0.495924,0.504076,-0.1029,0.0655631,-3.93349e-09,-5.05628e-10,-7.22007e-09,61.off,,0.0919108
1,Airplane,11234,5619,triangles,-0.415013,0.42068,-0.0796078,0.151237,-0.482465,0.517535,-1.42318e-09,-2.06293e-08,1.71086e-07,62.off,,0.192915
2,Airplane,11034,5519,triangles,-0.498614,0.501386,-0.0621302,0.139489,-0.423812,0.427578,3.47875e-09,-2.56174e-08,1.75288e-07,63.off,,0.171657
3,Airplane,13590,6797,triangles,-0.417494,0.419589,-0.456325,0.543675,-0.0792608,0.187552,-2.92181e-09,-2.89523e-08,5.66335e-08,64.off,,0.223344
4,Airplane,12892,6448,triangles,-0.579716,0.402852,-0.49642,0.50358,-0.0863045,0.123812,2.41219e-08,-4.7219e-09,4.21083e-08,65.off,,0.206454
5,Airplane,15474,7739,triangles,-0.592256,0.407744,-0.438424,0.438692,-0.0614393,0.130414,-6.40833e-08,2.3584e-08,-1.00064e-07,66.off,,0.168278
6,Airplane,15298,7651,triangles,-0.564788,0.435212,-0.459488,0.459532,-0.0615107,0.204811,2.63667e-08,2.80787e-08,1.92891e-08,67.off,,0.244755
7,Airplane,11162,5583,triangles,-0.477593,0.314214,-0.494868,0.505132,-0.0551322,0.169244,3.05176e-08,-2.56226e-10,4.4498e-08,68.off,,0.177663
8,Airplane,13398,6701,triangles,-0.326091,0.421986,-0.496771,0.503229,-0.0577678,0.141149,6.9429e-08,-6.6218e-08,-2.13283e-08,69.off,,0.148805
9,Airplane,11258,5631,triangles,-0.316172,0.282424,-0.496548,0.503452,-0.0870409,0.125623,-1.57353e-07,4.81803e-07,3.2716e-07,70.off,,0.1273
10,Ant,12736,6370,triangles,-0.266912,0.228923,-0.536264,0.463736,-0.265551,0.132493,2.22874e-08,-4.17794e-09,2.35195e-07,81.off,,0.197364
11,Ant,16594,8299,triangles,-0.273534,0.347033,-0.482589,0.517411,-0.325147,0.221131,3.64314e-09,-2.96204e-07,-9.63557e-08,82.off,,0.339002
12,Ant,12748,6376,triangles,-0.326866,0.260843,-0.503939,0.496061,-0.168002,0.160175,5.93616e-10,-7.24492e-09,4.3979e-08,83.off,,0.192873
13,Ant,13696,6850,triangles,-0.250477,0.244784,-0.470149,0.529851,-0.262747,0.27866,1.70983e-09,-1.26853e-07,-1.4162e-07,84.off,,0.268138
14,Ant,16772,8388,triangles,-0.360182,0.264486,-0.465341,0.534659,-0.115129,0.233322,-7.40368e-08,-1.62193e-08,-7.76271e-08,85.off,,0.217666
15,Ant,14072,7038,triangles,-0.180947,0.169906,-0.506836,0.493164,-0.262913,0.19459,-8.48591e-09,9.12617e-08,6.02949e-08,86.off,,0.160516
16,Ant,14936,7470,triangles,-0.30753,0.360312,-0.476217,0.523783,-0.298119,0.167148,2.25652e-08,-7.79907e-08,1.85437e-07,87.off,,0.310725
17,Ant,16416,8210,triangles,-0.416505,0.411103,-0.462414,0.537586,-0.349582,0.205397,-5.61325e-08,-4.80921e-08,-1.55662e-07,88.off,,0.459305
18,Ant,15304,7654,triangles,-0.301861,0.265539,-0.491336,0.508664,-0.116037,0.236904,5.88337e-09,-6.50227e-08,-6.44435e-08,89.off,,0.200259
19,Ant,15750,7877,triangles,-0.285153,0.335824,-0.492405,0.507595,-0.252709,0.213826,4.67257e-09,1.67163e-08,4.32192e-07,90.off,,0.289708
20,Armadillo,10000,5002,triangles,-0.532243,0.409999,-0.517876,0.482803,-0.354223,0.496861,-0.00442684,0.0179158,-0.00531649,281.off,,0.802472
21,Armadillo,10000,5002,triangles,-0.247837,0.277065,-0.549513,0.4496,-0.303546,0.299858,0.00157338,0.00763449,-0.00945898,282.off,,0.316447
22,Armadillo,10000,5002,triangles,-0.252799,0.220544,-0.504845,0.496642,-0.25244,0.243794,-0.00270032,0.0103011,-0.00879843,283.off,,0.235238
23,Armadillo,10000,5002,triangles,-0.389353,0.415397,-0.584966,0.413924,-0.487145,0.483654,-0.00268189,0.0100683,-0.00916679,284.off,,0.780383
24,Armadillo,10000,5002,triangles,-0.307052,0.359603,-0.561903,0.43781,-0.507405,0.414399,0.00629387,0.0073017,-0.0112248,285.off,,0.614348
25,Armadillo,10000,5002,triangles,-0.466255,0.531433,-0.491177,0.496876,-0.571231,0.410998,-0.000368697,0.0229422,-0.0117811,286.off,,0.968251
26,Armadillo,10000,5002,triangles,-0.42414,0.460237,-0.436261,0.565261,-0.490519,0.481025,0.00233129,0.0201302,-0.00892775,287.off,,0.86052
27,Armadillo,10000,5002,triangles,-0.457751,0.539949,-0.531397,0.466059,-0.427459,0.526746,-0.00774732,0.0046427,-0.01042,288.off,,0.949588
28,Armadillo,10000,5002,triangles,-0.516883,0.483432,-0.49298,0.350341,-0.315917,0.498515,-0.00251072,0.00835681,-0.00639065,289.off,,0.687044
29,Armadillo,10000,5002,triangles,-0.46914,0.26971,-0.514043,0.485337,-0.406992,0.419314,-0.00858203,0.00306904,-0.00138375,290.off,,0.610139
30,Bearing,3322,1663,triangles,-0.149448,0.151401,-0.1502,0.150142,-0.49294,0.50706,-5.40761e-09,-5.92283e-09,1.57348e-06,341.off,,0.0903576
