sep=,
index,class,number of faces, number of vertices, type of faces, minimum X value, maximum X value, minimum Y value, maximum Y value, minimum Z value, maximum Z value, baricenter x coordinate, baricenter y coordinate, baricenter z coordinate, path, vertices verdict, volume
0,Airplane,2000,1002,triangles,-0.471343,0.601059,-0.975241,0.99036,-0.212074,0.119057,0.0284394,-0.000451264,-0.00981438,61.off,,0.697995
1,Airplane,11234,5619,triangles,-0.80098,0.811478,-0.153854,0.291557,-0.930961,0.998526,-0.000218295,-0.000251851,-5.03914e-05,62.off,,1.38577
2,Airplane,11034,5519,triangles,-0.994716,0.999786,-0.124181,0.277948,-0.845371,0.852728,-0.000229534,-0.000262177,-7.71542e-05,63.off,,1.36196
3,Airplane,13590,6797,triangles,-0.768211,0.771705,-0.839622,0.999999,-0.145948,0.344887,-0.000180457,-0.000156187,-0.000138211,64.off,,1.39047
4,Airplane,12892,6448,triangles,-0.999663,0.694503,-0.856102,0.86812,-0.148949,0.213338,-0.000103205,-0.000164022,-0.000140968,65.off,,1.05828
5,Airplane,15474,7739,triangles,-0.996823,0.686182,-0.738003,0.738188,-0.10352,0.21937,-5.38464e-05,-0.000132365,-0.000117302,66.off,,0.8022
6,Airplane,15298,7651,triangles,-0.998391,0.769229,-0.812341,0.812138,-0.108847,0.361909,-5.99337e-05,-0.000140035,-0.000119533,67.off,,1.35176
7,Airplane,11162,5583,triangles,-0.848046,0.557457,-0.878466,0.896592,-0.098027,0.300253,-0.00029134,-4.58346e-05,-0.000164171,68.off,,0.993649
8,Airplane,13398,6701,triangles,-0.619228,0.801149,-0.943391,0.955314,-0.109835,0.267849,-7.79878e-05,-0.000169392,-0.000150893,69.off,,1.01857
9,Airplane,11258,5631,triangles,-0.627547,0.560331,-0.985593,0.998846,-0.172914,0.249105,-0.000122204,-0.000224104,-0.000186694,70.off,,0.994813
10,Ant,12736,6370,triangles,-0.48686,0.417165,-0.977877,0.845361,-0.484288,0.241441,-0.000215578,-0.000139957,-0.000125175,81.off,,1.19618
11,Ant,16594,8299,triangles,-0.487613,0.618473,-0.860302,0.922078,-0.579611,0.394064,-7.19163e-05,-0.000144527,-7.57434e-05,82.off,,1.91957
12,Ant,12748,6376,triangles,-0.611593,0.487833,-0.942824,0.927874,-0.314417,0.299502,-0.000125371,-0.000106831,-0.000136536,83.off,,1.26264
13,Ant,13696,6850,triangles,-0.43863,0.42824,-0.822991,0.927339,-0.459985,0.487656,-0.000212343,-7.42856e-05,-9.11085e-05,84.off,,1.43786
14,Ant,16772,8388,triangles,-0.630332,0.462543,-0.814198,0.935331,-0.201516,0.408109,-0.000183126,-7.0724e-05,-9.45268e-05,85.off,,1.16561
15,Ant,14072,7038,triangles,-0.330663,0.310102,-0.925771,0.900537,-0.480266,0.355275,-0.000198192,-0.000131718,-0.000105682,86.off,,0.977779
16,Ant,14936,7470,triangles,-0.565668,0.662331,-0.875761,0.962997,-0.548266,0.307246,-0.000194994,-0.000112591,-9.78645e-05,87.off,,1.93174
17,Ant,16416,8210,triangles,-0.760446,0.750407,-0.844331,0.981235,-0.638264,0.374887,-8.8141e-05,-0.000163458,-7.90827e-05,88.off,,2.79443
18,Ant,15304,7654,triangles,-0.546172,0.480063,-0.888764,0.919898,-0.209979,0.428371,-0.000207776,-0.000103612,-0.000107664,89.off,,1.18485
19,Ant,15750,7877,triangles,-0.514921,0.606259,-0.889206,0.916304,-0.45636,0.385974,-7.51047e-05,-0.000163898,-9.14357e-05,90.off,,1.70514
20,Armadillo,50542,25273,triangles,-0.706117,0.543287,-0.684591,0.642828,-0.471506,0.658752,-0.000544038,0.00129439,-0.000628605,281.off,TOO MANY VERTICES,1.87451
21,Armadillo,48942,24473,triangles,-0.40091,0.448975,-0.892775,0.727284,-0.490459,0.487339,0.000800395,-0.00201132,0.00130344,282.off,TOO MANY VERTICES,1.34629
22,Armadillo,48964,24484,triangles,-0.47476,0.413383,-0.951002,0.927686,-0.473004,0.460674,-0.000147592,-0.00357698,0.00214982,283.off,TOO MANY VERTICES,1.55788
23,Armadillo,50984,25494,triangles,-0.560302,0.597502,-0.842525,0.596627,-0.701549,0.695852,-1.69353e-05,-3.00549e-05,1.37427e-05,284.off,TOO MANY VERTICES,2.32843
24,Armadillo,50382,25193,triangles,-0.477105,0.556668,-0.86975,0.680658,-0.787469,0.642696,-0.000837357,0.00142289,0.000309542,285.off,TOO MANY VERTICES,2.29223
25,Armadillo,50212,25108,triangles,-0.627113,0.712486,-0.657124,0.664345,-0.762355,0.553417,1.64332e-05,0.00126635,0.00180298,286.off,TOO MANY VERTICES,2.32923
26,Armadillo,50978,25491,triangles,-0.630165,0.685147,-0.647007,0.839888,-0.729643,0.715232,-1.94025e-05,-5.00636e-05,-1.32097e-06,287.off,TOO MANY VERTICES,2.82579
27,Armadillo,39996,20000,triangles,-0.665666,0.79735,-0.778812,0.687606,-0.628892,0.770497,0.0055128,0.00287849,-0.00214286,288.off,TOO MANY VERTICES,3.00224
28,Armadillo,50418,25211,triangles,-0.928195,0.867028,-0.88401,0.629458,-0.566932,0.897409,-0.000298901,0.00099936,0.000506881,289.off,TOO MANY VERTICES,3.97863
29,Armadillo,50858,25431,triangles,-0.683127,0.39191,-0.748136,0.706428,-0.592389,0.609401,-7.86825e-06,-3.80577e-05,-2.93818e-05,290.off,TOO MANY VERTICES,1.87925
30,Bearing,3322,1663,triangles,-0.231885,0.231652,-0.231494,0.231261,-0.99838,0.542383,-0.00162029,-7.16113e-05,-0.238876,341.off,,0.3305
31,Bearing,3322,1663,triangles,-0.285383,0.288797,-0.286987,0.286222,-0.941667,0.966859,-0.000152505,-0.000325085,-0.00087964,342.off,,0.628144
